nom_du_joueur;IDjoueur;nom_du_jeu;action_de_jeu;mise;difficulty;score;gagnant
helene;du4i2zx1r;Sensoriel;15;7;0.20000000000000004;44;1
helene;du4i2zx1r;Sensoriel;16;7;0.30000000000000004;51;1
helene;du4i2zx1r;Sensoriel;17;1;0.4;50;0
helene;du4i2zx1r;Sensoriel;18;1;0.30000000000000004;49;0
helene;du4i2zx1r;Sensoriel;19;7;0.20000000000000004;56;1
helene;du4i2zx1r;Sensoriel;20;1;0.30000000000000004;55;0
helene;du4i2zx1r;Sensoriel;21;7;0.20000000000000004;62;1
helene;du4i2zx1r;Sensoriel;22;3;0.30000000000000004;65;1
helene;du4i2zx1r;Sensoriel;23;1;0.4;66;1
helene;du4i2zx1r;Sensoriel;24;1;0.5;65;0
helene;du4i2zx1r;Sensoriel;25;1;0.4;64;0
helene;du4i2zx1r;Sensoriel;26;1;0.30000000000000004;63;0
helene;du4i2zx1r;Sensoriel;27;1;0.20000000000000004;62;0
helene;du4i2zx1r;Sensoriel;28;1;0.10000000000000003;61;0
helene;du4i2zx1r;Sensoriel;29;1;2.7755575615628914e-17;60;0
helene;du4i2zx1r;Sensoriel;30;7;0;67;1
pam;4635ohkot;Sensoriel;1;1;0;1;1
pam;4635ohkot;Sensoriel;2;7;0.1;-6;0
pam;4635ohkot;Sensoriel;3;5;0;-1;1
pam;4635ohkot;Sensoriel;4;5;0.1;4;1
pam;4635ohkot;Sensoriel;5;5;0.2;9;1
pam;4635ohkot;Sensoriel;6;5;0.30000000000000004;4;0
pam;4635ohkot;Sensoriel;7;4;0.20000000000000004;8;1
pam;4635ohkot;Sensoriel;8;5;0.30000000000000004;13;1
pam;4635ohkot;Sensoriel;9;3;0.4;16;1
pam;4635ohkot;Sensoriel;10;3;0.5;13;0
pam;4635ohkot;Sensoriel;11;2;0.4;11;0
pam;4635ohkot;Sensoriel;12;1;0.30000000000000004;12;1
pam;4635ohkot;Sensoriel;13;1;0.4;13;1
pam;4635ohkot;Sensoriel;14;1;0.5;12;0
pam;4635ohkot;Sensoriel;15;1;0.4;11;0
pam;4635ohkot;Sensoriel;16;1;0.30000000000000004;10;0
pam;4635ohkot;Sensoriel;17;1;0.20000000000000004;9;0
pam;4635ohkot;Sensoriel;18;1;0.10000000000000003;8;0
pam;4635ohkot;Sensoriel;19;1;2.7755575615628914e-17;7;0
pam;4635ohkot;Sensoriel;20;1;0;6;0
pam;4635ohkot;Sensoriel;21;1;0;5;0
pam;4635ohkot;Sensoriel;22;2;0;7;1
pam;4635ohkot;Sensoriel;23;1;0.1;6;0
pam;4635ohkot;Sensoriel;24;4;0;10;1
pam;4635ohkot;Sensoriel;25;7;0.1;17;1
pam;4635ohkot;Sensoriel;26;7;0.2;24;1
pam;4635ohkot;Sensoriel;27;5;0.30000000000000004;29;1
pam;4635ohkot;Sensoriel;28;6;0.4;23;0
pam;4635ohkot;Sensoriel;29;2;0.30000000000000004;25;1
pam;4635ohkot;Sensoriel;30;1;0.4;24;0
pam;4635ohkot;Motrice;1;2;4.034264097200273;-2;0
pam;4635ohkot;Motrice;2;5;3.1634973615297346;3;1
pam;4635ohkot;Motrice;3;7;4.034264097200273;10;1
pam;4635ohkot;Motrice;4;7;4.7534692783297245;3;0
